Timestamp, R, G, B
2024-03-11 06:46:18, R: 172, G: 178, B: 146
2024-03-11 06:47:18, R: 173, G: 178, B: 146
2024-03-11 06:48:18, R: 171, G: 178, B: 147
2024-03-11 06:49:18, R: 172, G: 180, B: 148
2024-03-11 06:50:18, R: 155, G: 161, B: 130
2024-03-11 06:51:18, R: 158, G: 163, B: 132
2024-03-11 06:52:18, R: 160, G: 165, B: 134
2024-03-11 06:53:18, R: 162, G: 168, B: 136
2024-03-11 06:54:18, R: 164, G: 170, B: 139
2024-03-11 06:55:18, R: 167, G: 172, B: 141
2024-03-11 06:56:18, R: 169, G: 173, B: 143
2024-03-11 06:57:18, R: 170, G: 175, B: 144
2024-03-11 06:58:18, R: 170, G: 175, B: 144
2024-03-11 06:59:18, R: 169, G: 173, B: 143
2024-03-11 07:00:18, R: 167, G: 171, B: 141
2024-03-11 07:01:18, R: 164, G: 168, B: 138
2024-03-11 07:02:18, R: 161, G: 165, B: 136
2024-03-11 07:03:18, R: 158, G: 162, B: 133
2024-03-11 07:04:18, R: 154, G: 157, B: 129
2024-03-11 07:05:18, R: 148, G: 152, B: 123
2024-03-11 07:06:18, R: 142, G: 147, B: 119
2024-03-11 07:07:18, R: 139, G: 143, B: 115
2024-03-11 07:08:18, R: 136, G: 140, B: 111
2024-03-11 07:09:18, R: 133, G: 137, B: 109
2024-03-11 07:10:18, R: 132, G: 135, B: 107
2024-03-11 07:11:18, R: 130, G: 133, B: 106
2024-03-11 07:12:18, R: 130, G: 133, B: 105
2024-03-11 07:13:18, R: 129, G: 132, B: 105
2024-03-11 07:14:18, R: 129, G: 132, B: 104
2024-03-11 07:15:18, R: 128, G: 131, B: 103
2024-03-11 07:16:18, R: 126, G: 130, B: 102
2024-03-11 07:17:18, R: 125, G: 128, B: 100
2024-03-11 07:18:18, R: 122, G: 125, B: 97
2024-03-11 07:19:18, R: 118, G: 121, B: 93
2024-03-11 07:20:18, R: 139, G: 142, B: 114
2024-03-11 07:21:18, R: 131, G: 134, B: 107
2024-03-11 07:22:18, R: 124, G: 126, B: 100
2024-03-11 07:23:18, R: 117, G: 120, B: 94
2024-03-11 07:24:18, R: 131, G: 138, B: 107
2024-03-11 07:25:18, R: 127, G: 133, B: 103
2024-03-11 07:26:18, R: 123, G: 130, B: 99
2024-03-11 07:27:18, R: 122, G: 129, B: 97
2024-03-11 07:28:18, R: 123, G: 130, B: 98
2024-03-11 07:29:18, R: 126, G: 134, B: 100
2024-03-11 07:30:18, R: 131, G: 138, B: 104
2024-03-11 07:31:18, R: 134, G: 143, B: 108
2024-03-11 07:32:18, R: 138, G: 146, B: 111
2024-03-11 07:33:18, R: 141, G: 149, B: 114
2024-03-11 07:34:19, R: 142, G: 151, B: 115
2024-03-11 07:35:19, R: 144, G: 153, B: 118
2024-03-11 07:36:19, R: 147, G: 155, B: 120
2024-03-11 07:37:19, R: 146, G: 154, B: 119
2024-03-11 07:38:19, R: 146, G: 154, B: 118
2024-03-11 07:39:19, R: 144, G: 152, B: 117
2024-03-11 07:40:19, R: 142, G: 150, B: 115
2024-03-11 07:41:19, R: 137, G: 147, B: 112
2024-03-11 07:42:19, R: 134, G: 144, B: 110
2024-03-11 07:43:19, R: 131, G: 141, B: 107
2024-03-11 07:44:19, R: 129, G: 138, B: 106
2024-03-11 07:45:19, R: 133, G: 143, B: 108
2024-03-11 07:46:19, R: 134, G: 143, B: 109
2024-03-11 07:47:19, R: 134, G: 144, B: 109
2024-03-11 07:48:19, R: 135, G: 144, B: 109
2024-03-11 07:49:19, R: 134, G: 143, B: 109
2024-03-11 07:50:19, R: 132, G: 142, B: 108
2024-03-11 07:51:19, R: 130, G: 140, B: 106
2024-03-11 07:52:19, R: 128, G: 138, B: 104
2024-03-11 07:53:19, R: 127, G: 136, B: 103
2024-03-11 07:54:19, R: 126, G: 135, B: 101
2024-03-11 07:55:19, R: 125, G: 135, B: 99
2024-03-11 07:56:19, R: 124, G: 134, B: 98
2024-03-11 07:57:19, R: 125, G: 135, B: 98
2024-03-11 07:58:19, R: 126, G: 136, B: 99
2024-03-11 07:59:19, R: 128, G: 138, B: 101
2024-03-11 08:00:19, R: 130, G: 141, B: 103
2024-03-11 08:01:19, R: 132, G: 143, B: 104
2024-03-11 08:02:19, R: 135, G: 146, B: 107
2024-03-11 08:03:19, R: 139, G: 150, B: 110
2024-03-11 08:04:19, R: 143, G: 153, B: 114
2024-03-11 08:05:19, R: 147, G: 158, B: 119
2024-03-11 08:06:19, R: 153, G: 164, B: 124
2024-03-11 08:07:19, R: 158, G: 169, B: 129
2024-03-11 08:08:19, R: 146, G: 156, B: 117
2024-03-11 08:09:19, R: 151, G: 161, B: 122
2024-03-11 08:10:19, R: 156, G: 166, B: 127
2024-03-11 08:11:19, R: 160, G: 170, B: 131
2024-03-11 08:12:19, R: 150, G: 157, B: 120
2024-03-11 08:13:19, R: 153, G: 160, B: 124
2024-03-11 08:14:19, R: 156, G: 163, B: 129
2024-03-11 08:15:19, R: 160, G: 167, B: 132
